;Tool  Pocket Z Offset     Diameter     Remark
T1     P0     Z+0.000000   D+8.000000   ; Dreanique DAU3E-D8-L24
T2     P0     Z+43.526886  D+6.000000   ; Dreanique DSA1F-D6-L32
T3     P0     Z+0.000000   D+3.100000   ; DREANIQUE DSA1F-D3.1-L17
T4     P0     Z+0.000000   D+1.000000   ; DREANIQUE DSA1F-D1-L04
T5     P0     Z+21.717255  D+5.000000   ; Chowmaster 3F 5x5x50x90DEG
T6     P0     Z+35.071136  D+6.000000   ; Chowmaster 3F 6.0x18x6x50
T7     P0     Z+0.000000   D+2.000000   ; Sorotec Bohrer 2.5
T8     P0     Z+31.043060  D+3.000000   ; CHOWMASTER 3F 3.0x12x3x75
T9     P0     Z+0.000000   D+1.000000   ; ChowMaster R0.5x4x50
T99    P0     Z+50.597534  D+2.000000   ; 3D-Probe
T100   P0     Z+0.000000   D+0.000000   ; Empty-ER20
T101   P0     Z+0.000000   D+20.000000  ; SST Tram Tool
T90    P0     Z+0.000000   D+6.000000   ; Bosch 6mm Bohrer
